code,aircraft,engine,units,flight,static
M08903,F-35B,F-135-PW-600,% ETR,TRUE,TRUE
M08904,F-35BV,F-135-PW-600,% ETR,FALSE,TRUE
M03904,F-4,J79-GE-15,% RPM,FALSE,TRUE
M03901,F-4C,J79-GE-15E,% RPM,TRUE,TRUE
M04003,F-5,J85-GE-13,% RPM,FALSE,TRUE
M04001,F-5A&B,J85-GE-13,% RPM,TRUE,TRUE
M04002,F-5E,J85-GE-21,% RPM,TRUE,TRUE
M04101,F-8,J57-P-20,% RPM,TRUE,TRUE
M00101,F100-PW-100,F100-PW-100,% RPM,FALSE,TRUE
C08901,F10062*,TAY,LBS,TRUE,FALSE
C09001,F10065*,TAY,LBS,TRUE,FALSE
C09801,FALCON,20*,LBS,TRUE,FALSE
M05204,FB-111A,TF30-P-7,% NC,TRUE,TRUE
C07501,GASEPF,FIX,% RPM,TRUE,FALSE
C07401,GASEPV,VAR,% RPM,TRUE,FALSE
M65301,GAZELLE,SA341G,KNOTS,TRUE,FALSE
C09601,GIV*,TAY,LBS,TRUE,FALSE
M00107,GRADE I,,% RPM,FALSE,TRUE
M00108,GRADE II,,% RPM,FALSE,TRUE
M00109,GRADE III,,% RPM,FALSE,TRUE
C05901,GULF-GIIB,SPEY,LBS,TRUE,FALSE
M45501,HARRIER,Pegasus,% RPM,TRUE,TRUE
M46101,HAWK,RR,% RPM,TRUE,TRUE
C08101,HERCULES-380,T56-A-15,% RPM,TRUE,FALSE
M60301,HH-53,T64-GE-7,% RPM,TRUE,FALSE
M46501,HS748,Dart,% RPM,TRUE,TRUE
M66101,HU500D/E,(OH-6),KNOTS,TRUE,FALSE
M45601,HUNTER,Avon,% RPM,TRUE,TRUE
M00102,J75-P-17,J75-P-17,% RPM,FALSE,TRUE
M00103,J75-P-19,J75-P-19,% RPM,FALSE,TRUE
M00104,J79-GE-15,J79-GE-15,% RPM,FALSE,TRUE
M45201,JAGUAR,Turbomeca,% RPM,TRUE,TRUE
M08301,JPATS,TP PT6A-68,% TORQUE,FALSE,TRUE
M05401,KC-10A,CF6-50C2,% N1,TRUE,TRUE
M03103,KC-135A,J57-P-59W,% RPM,FALSE,TRUE
M03104,KC-135R,F108-CF-100,% NF,TRUE,TRUE
C10401,KC-46X,PW4062,% N1,TRUE,FALSE
M05501,KC-97L,R4360-59B,IN HG,TRUE,TRUE
C02201,L-1011,TF,LBS,TRUE,FALSE
M22201,L-1011-1,RB211-22B Turbofans,% SLTT,FALSE,TRUE
C02301,L-1011-500,TF,LBS,TRUE,FALSE
C05501,LEARJET-25,TJ,LBS,TRUE,FALSE
C05401,LEARJET-35,TF,LBS,TRUE,FALSE
M45301,LIGHTNING,Avon,% RPM,TRUE,TRUE
C04801,MD-81,JT8D-209/217,LBS,TRUE,FALSE
C04901,MD-82,JT8D-209/217,LBS,TRUE,FALSE
C05001,MD-83,JT8D-209/217,LBS,TRUE,FALSE
C06001,MU-3001,TF,LBS,TRUE,FALSE
M45901,NIMROD,Spey,% RPM,TRUE,TRUE
M61001,OH-6A,ALL-250-C20A,% RPM,TRUE,FALSE
M61401,OH58,Allison,KNOTS,TRUE,TRUE
M61501,OH58D,Allison,KNOTS,TRUE,TRUE
M05601,OV-10A,T76-G-416/417,% RPM,TRUE,TRUE
M05701,P-3A,T56-A-14,ESHP,TRUE,TRUE
M05702,P-3C,T56-A-14,ESHP,TRUE,TRUE
M45001,PHANTOM,Spey,% RPM,TRUE,TRUE
M46201,PROVOST,Viper,% RPM,TRUE,TRUE
M65401,PUMA,SA330J,KNOTS,TRUE,FALSE
M05801,S-3A&B,TF34-GE-400A/B,% NC,TRUE,TRUE
C07201,SAAB-340,TP,% RPM,TRUE,FALSE
C05601,SABER-80,TF,LBS,TRUE,FALSE
C06801,SHORTS,SD3-30,% RPM,TRUE,FALSE
M66201,SK61,(CH-3A),KNOTS,TRUE,FALSE
M66301,SK65,(CH-53),KNOTS,TRUE,FALSE
M66401,SK70,(UH-60A),KNOTS,TRUE,FALSE
M66501,SK76,SPIRIT,KNOTS,TRUE,FALSE
M05901,SR-71,JT11D-20B(J58),% NC,TRUE,TRUE
M06001,T-1,JT15D-5,% NC,TRUE,TRUE
M06401,T-29,R-2800-103W,RPM,TRUE,TRUE
M06101,T-2C,J85-GE-4A,% RPM,TRUE,TRUE
M06201,T-3,(FIREFLY),% RPM,TRUE,FALSE
M06201,T-3 (FIREFLY),Lycoming Piston,% RPM,FALSE,TRUE
M06501,T-33A,J33-A-35,% RPM,TRUE,TRUE
M06601,T-34,PT6A-25,% RPM,TRUE,TRUE
M06701,T-37B,J69-T-25,% RPM,TRUE,TRUE
M06803,T-38,J85-GE-5A,% RPM,FALSE,TRUE
M06801,T-38A,J85-GE-5A,% RPM,TRUE,TRUE
M08801,T-38C,J-85R-GE-5,% RPM,TRUE,TRUE
M06901,T-39A,J60-P-3A,% RPM,TRUE,TRUE
M07001,T-41,O-300-C,% RPM,TRUE,TRUE
M07101,T-42,IO-470-L,% RPM,TRUE,TRUE
M07201,T-43A,JT8D-9A,EPR,TRUE,TRUE
M07301,T-44,PT6A-34B,% RPM,TRUE,TRUE
M07401,T-45,F405-RR-401,% RPM,TRUE,TRUE
M08701,T-6,PT6A-68,% Torque,TRUE,TRUE
M00110,TEST CELL,,% RPM,FALSE,TRUE
M00111,TEST STAND,,LBS,FALSE,TRUE
M00105,TF30-P-100,TF30-P-100,% RPM,FALSE,TRUE
M00106,TF41-A-1,TF41-A-1,% RPM,FALSE,TRUE
M60901,TH-55A,HIO-360-DIA,% RPM,TRUE,FALSE
M61601,TH55,Lycoming,KNOTS,TRUE,TRUE
M45101,TORNADO,RB.199-34R-04,% RPM,TRUE,TRUE
M07501,TR-1,J75-P-13,% RPM,TRUE,TRUE
M65501,TWINSTAR,SA355F,KNOTS,TRUE,FALSE
M07601,U-2,J75-P-13,% RPM,TRUE,TRUE
M08001,U-21,PT6A-30,% RPM,TRUE,TRUE
M07701,U-4B,GSO-480-A1A6/B1,IN HG,TRUE,TRUE
M07801,U-6,PT6A-25,% RPM,TRUE,TRUE
M07901,U-8F,LYC,% RPM,TRUE,TRUE
M60801,UH-13,TVO-435-G1A,% RPM,TRUE,FALSE
M61701,UH-1B,T53-L-11,POWER,FALSE,TRUE
M61801,UH-1M,T53-L-13,POWER,FALSE,TRUE
M60401,UH-1N,PT6T-3B,% RPM,TRUE,FALSE
M62101,UH60A,T700-CE-700,KNOTS,TRUE,TRUE
M46001,VC10,Conway,% RPM,TRUE,TRUE
M45701,VICTOR,Conway,% RPM,TRUE,TRUE
M45801,VULCAN,Olympus,% RPM,TRUE,TRUE
M08601,X-35,JSF119-PW-611,% ETR,TRUE,TRUE
M08101,YC-14,CF6-50D,% NF,TRUE,TRUE
M08102,YC-14 FLAPS 30,CF6-50D,% NF,FALSE,TRUE
M08103,YC-14 THRUSTER,CF6-50D,% NF,FALSE,TRUE
M08201,YC-15,"JT8D-17,",EPR,TRUE,TRUE
M08202,YC-15 FLAPS 24,"JT8D-17, -209",EPR,FALSE,TRUE
