ac,eng,power,Dist ft.,SEL A-G (dB),ALM A-G (dB),ps_num,retired
A-5C,J79-GE-8C,Afterburner (100% RPM),25000,86.4,72.6,100,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),200,123.7,119.3,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),250,122.2,117.2,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),315,120.7,115,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),400,119.1,112.9,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),500,117.5,110.7,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),630,115.8,108.4,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),800,114.1,106.1,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),1000,112.4,103.8,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),1250,110.6,101.4,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),1600,108.7,98.9,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),2000,106.8,96.4,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),2500,104.8,93.8,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),3150,102.7,91,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),4000,100.4,88.2,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),5000,98.1,85.3,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),6300,95.6,82.2,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),8000,93,79,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),10000,90.3,75.7,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),12500,87.4,72.1,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),16000,84.2,68.4,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),20000,80.8,64.4,83,TRUE
A-5C,J79-GE-8C,Takeoff (83% RPM),25000,77.2,60.2,83,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),200,126.5,124.6,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),250,125,122.4,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),315,123.3,120.2,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),400,121.7,118,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),500,120,115.6,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),630,118.2,113.3,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),800,116.4,110.8,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),1000,114.4,108.3,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),1250,112.4,105.7,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),1600,110.3,103,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),2000,108.1,100.2,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),2500,105.8,97.3,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),3150,103.3,94.1,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),4000,100.6,90.9,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),5000,97.7,87.4,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),6300,94.6,83.7,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),8000,91.2,79.7,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),10000,87.5,75.4,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),12500,83.6,70.9,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),16000,79.3,66,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),20000,74.8,60.9,100,TRUE
A-6A,J52-P-8A,Takeoff (100% RPM),25000,70.1,55.5,100,TRUE
A-6A,J52-P-8A,Approach (95% RPM),200,121.3,118.7,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),250,119.7,116.5,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),315,118.2,114.4,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),400,116.6,112.2,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),500,115,110,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),630,113.3,107.7,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),800,111.6,105.4,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),1000,109.8,103,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),1250,108,100.6,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),1600,106.1,98.1,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),2000,104.1,95.5,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),2500,102,92.8,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),3150,99.8,90,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),4000,97.5,87.1,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),5000,95.1,84.1,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),6300,92.6,81,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),8000,89.9,77.7,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),10000,87,74.2,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),12500,83.9,70.5,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),16000,80.6,66.6,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),20000,77,62.4,95,TRUE
A-6A,J52-P-8A,Approach (95% RPM),25000,73.2,58,95,TRUE
A-7E,TF41-A-2,Approach (82% NC),200,107.1,105.6,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),250,105.5,103.4,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),315,103.9,101.1,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),400,102.2,98.8,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),500,100.5,96.5,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),630,98.7,94.1,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),800,96.8,91.6,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),1000,94.9,89.1,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),1250,92.9,86.6,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),1600,90.9,83.9,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),2000,88.8,81.2,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),2500,86.6,78.4,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),3150,84.3,75.6,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),4000,82,72.6,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),5000,79.5,69.6,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),6300,76.9,66.3,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),8000,74.2,63,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),10000,71.2,59.4,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),12500,68,55.6,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),16000,64.6,51.6,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),20000,60.9,47.3,82,TRUE
A-7E,TF41-A-2,Approach (82% NC),25000,57,42.8,82,TRUE
A-7E,TF41-A-2,Cruise (85% NC),200,104,101.3,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),250,102.4,99.1,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),315,100.8,96.8,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),400,99,94.5,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),500,97.2,92.1,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),630,95.4,89.6,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),800,93.4,87.1,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),1000,91.4,84.5,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),1250,89.4,81.8,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),1600,87.2,79,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),2000,84.9,76.1,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),2500,82.5,73.2,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),3150,80.1,70.1,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),4000,77.5,66.9,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),5000,74.8,63.7,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),6300,72,60.3,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),8000,69.1,56.8,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),10000,66.1,53.1,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),12500,62.8,49.3,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),16000,59.4,45.2,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),20000,55.7,40.9,85,TRUE
A-7E,TF41-A-2,Cruise (85% NC),25000,51.7,36.3,85,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),200,126.9,124.7,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),250,125.3,122.5,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),315,123.6,120.2,96,TRUE
